ID,Text,Category
1,hi,greet
2,hello,greet
3,hey,greet
4,hii,greet
5,good morning,greet
6,hey,greet
7,How are you,greet
8,Is anyone there,greet
9,Hola,greet
10,Good day,greet
11,hey!,greet
12,hiii,greet
13,What's up?,greet
14,How's it going?,greet
15,Sup? ,greet
16,How have you been? ,greet
17,How are you? ,greet
18,What's new? ,greet
19,Yo!,greet
20,Hiya!,greet
21,good afternoon,greet
22,good evening,greet
23,hi there!,greet
24,hey there!,greet
25,howdy,greet
26,gday mate,greet
27,alright?,greet
28,whats cracking?,greet
29,whazzup?,greet
30,Can I book a Lecture Theatre,book
31,Can I book a study hall,book
32,I need a group study room,book
33,I would like to book a hall,book
34,I would like to make a booking for date,book
35,I would like to reserve a lecture theatre for date,book
36,Can i make a lecture theatre reservation for date,book
37,I would like to make a lecture hall reservation  for date,book
38,I want to book a hall,book
39,I need to book a hall,book
40,I require a hall for club meeting,book
41,Is it possible to reserve a hall for friday,book
42,I wish to book a hall ,book
43,I am in need of a hall for next week,book
44,Booking,book
45,I want to reserve a hall for next monday,book
46,need a group study room,book
47,would like to book a hall,book
48,would like to make a booking for monday,book
49,require a hall ,book
50,need a hall,book
51,want a hall for a small event,book
52,Is it possible to book a hall for monday,book
53,Can i book a study room for monday please,book
54,Can i please book a leacture theatre for friday,book
55,Can i please book a leacture theatre for monday,book
56,I would like to make a booking for wednesday,book
57,I would like to make a booking for thursday,book
58,I would like to make a booking for saturday,book
59,I would like to make a booking for sunday,book
60,I would like to make a booking for Monday,book
61,I would like to make a booking for date,book
62,I would like to make a booking for wednesday,book
63,I would like to make a booking for time,book
64,I would like to make a booking for date from time time to time time,book
65,I would like to make a booking for date on location,book
66,I would like to make a booking from time:time time,book
67,I want to make a booking ,book
68,I want to make a booking at location,book
69,I want to make a booking at location on date ,book
70,I want to make a booking at location from time time to time time on date,book
71,I want to book a hall at location,book
72,I want to make a booking at location,book
73,I want to book a room at location,book
74,I wish to make a booking at location on date,book
75,I wish to make a booking at location,book
76,I wish to book a hall in location,book
77,I want to book a hall at Rik Medlik Building,book
78,I want to book a hall at Lecture Theatre Block,book
79,I want to book a hall at Teaching Block,book
80,Please cancel my booking,cancel
81,I would like to cancel  the booking in my name,cancel
82,Can I cancel my booking,cancel
83,I want to cancel my booking,cancel
84,I wish to cancel the booking i made,cancel
85,is it possible to cancel my booking,cancel
86,Cancel my reservation for monday,cancel
87,Cancel all the reservations made in my name,cancel
88,I wish to cancel all the bookings for friday in my name,cancel
89,i want to cancel the reservations made for monday by the user username,cancel
90,Cancel booking,cancel
91,cancel reservation,cancel
92,need to cancel booking,cancel
93,need to cancel the reservations made,cancel
94,want to cancel the reservation,cancel
95,wish to cancel the booking ,cancel
96,want to cancel the booking,cancel
97,need to cancel,cancel
98,Can i cancel my booking please!,cancel
99,Can you please cancel my bookings,cancel
100,Can you please cancel my reservations,cancel
101,Please revoke my booking,cancel
102,I would like to revoke  the booking in my name,cancel
103,Can I revoke my booking,cancel
104,I want to revoke my booking,cancel
105,I wish to revoke the booking i made,cancel
106,is it possible to revoke my booking,cancel
107,revoke my reservation for monday,cancel
108,revoke all the reservations made in my name,cancel
109,I wish to revoke all the bookings for friday in my name,cancel
110,i want to revoke the reservations made for monday by the user username,cancel
111,revoke booking,cancel
112,revoke reservation,cancel
113,need to revoke booking,cancel
114,need to revoke the reservations made,cancel
115,want to revoke the reservation,cancel
116,wish to revoke the booking ,cancel
117,want to revoke the booking,cancel
118,need to revoke,cancel
119,Can i revoke my booking please!,cancel
120,Can you please revoke my bookings,cancel
121,Can you please revoke my reservations,cancel
122,"Yes, i would like to confirm the details",accept
123,Yes it is confirmed,accept
124,yes,accept
125,yeah,accept
126,ok,accept
127,thats right,accept
128,thats correct,accept
129,ya,accept
130,yes please,accept
131,confirmed,accept
132,confirm,accept
133,yea,accept
134,yup,accept
135,yes yes,accept
136,yes of course,accept
137,ya sure,accept
138,yes sure,accept
139,certainly,accept
140,yep,accept
141,yah,accept
142,seems okay,accept
143,seems right,accept
144,exactly,accept
145,this is perfect,accept
146,it is perfect,accept
147,sui,accept
148,No,decline
149,incorrect,decline
150,nah,decline
151,that is incorrect,decline
152,nop,decline
153,not right,decline
154,incorrect,decline
155,Negative,decline
156,Not correct,decline
157,Nope,decline
158,Noo,decline
159,of course not,decline
160,not at all,decline
161,wrong,decline
162,i'm afraid not,decline
163,nay,decline
164,mistaken,decline
165,this is wrong,decline
166,inaccurate,decline
167,"no, there is a small change",decline
168,this is not correct,decline
169,"sorry, it is not correct",decline
170,"sorry, NO",decline
171,totally wrong,decline
172,unfortunately no,decline
173,I am afraid it is incorrect,decline
174,No there is a mistake,decline
175,Nop there is an error,decline
176,My user name is username and mail id is email,User
177,my credentials are username and email id is email,User
178,username:username and email:email,User
179,email,User
180,username,User
181,email username,User
182,username email,User
183,My user name is username and email is email,User
184,My username is username and email  is email,User
185,following is my username: username,User
186,following is my mail id: email,User
187,usernameemail,User
188,emailusername,User
189,username,User
190,email,User
191,"It is for date, time",Details
192,It is for date,Details
193,It is has to be on date,Details
194,for time date,Details
195,date,Details
196,time,Details
197,date time,Details
198,time date,Details
199,location location,Details
200,location date time,Details
201,is location available,Details
202,it has to be on time time to time time,Details
203,it has to be on time time:time time,Details
204,the time is from time time to time time,Details
205,time time time time,Details
206,on date from time time to time time,Details
207,It is for date date from time to time,Details
208,yes confirmed,accept
209,I confirm the details,accept
210,the details are confirmed,accept
211,yes you can proceed ,accept
212,ya please proceed,accept
213,ya u can procced to book,accept
214,yes u can proceed to book,accept
215,of course yes,accept
216,cardinal cardinal,Details
217,cardinal,Details
218,I wish to make a reservation in location,book
219,I wish to make a reservation on date,book
220,I want to make a reservation at location,book
221,I want to make a reservation on date,book
222,*@%,accept
223,jhgsdfgsufs,accept
224,*&-';,accept
225,I want to make a booking ,book
225,I want to make a booking for date ,book
225,location location,Details